1,1 x 1 =,1
2,1 x 2 =,2
3,1 x 3 =,3
4,1 x 4 =,4
5,1 x 5 =,5
6,1 x 6 =,6
7,1 x 7 =,7
8,1 x 8 =,8
9,1 x 9 =,9
10,2 x 1 =,2
11,2 x 2 =,4
12,2 x 3 =,6
13,2 x 4 =,8
14,2 x 5 =,10
15,2 x 6 =,12
16,2 x 7 =,14
17,2 x 8 =,16
18,2 x 9 =,18
19,3 x 1 =,3
20,3 x 2 =,6
21,3 x 3 =,9
22,3 x 4 =,12
23,3 x 5 =,15
24,3 x 6 =,18
25,3 x 7 =,21
26,3 x 8 =,24
27,3 x 9 =,27
28,4 x 1 =,4
29,4 x 2 =,8
30,4 x 3 =,12
31,4 x 4 =,16
32,4 x 5 =,20
33,4 x 6 =,24
34,4 x 7 =,28
35,4 x 8 =,32
36,4 x 9 =,36
37,5 x 1 =,5
38,5 x 2 =,10
39,5 x 3 =,15
40,5 x 4 =,20
41,5 x 5 =,25
42,5 x 6 =,30
43,5 x 7 =,35
44,5 x 8 =,40
45,5 x 9 =,45
46,6 x 1 =,6
47,6 x 2 =,12
48,6 x 3 =,18
49,6 x 4 =,24
50,6 x 5 =,30
51,6 x 6 =,36
52,6 x 7 =,42
53,6 x 8 =,48
54,6 x 9 =,54
55,7 x 1 =,7
56,7 x 2 =,14
57,7 x 3 =,21
58,7 x 4 =,28
59,7 x 5 =,35
60,7 x 6 =,42
61,7 x 7 =,49
62,7 x 8 =,56
63,7 x 9 =,63
64,8 x 1 =,8
65,8 x 2 =,16
66,8 x 3 =,24
67,8 x 4 =,32
68,8 x 5 =,40
69,8 x 6 =,48
70,8 x 7 =,56
71,8 x 8 =,64
72,8 x 9 =,72
73,9 x 1 =,9
74,9 x 2 =,18
75,9 x 3 =,27
76,9 x 4 =,36
77,9 x 5 =,45
78,9 x 6 =,54
79,9 x 7 =,63
80,9 x 8 =,72
81,9 x 9 =,81
